0,1,2,3,4,project,sample_id,site,stage,latin.genus,latin.species,growth.form,functional.group,latitude,Al_area,Al_mass,Ca_area,Ca_mass,Carea,Cmass,Cu_area,Cu_mass,EWT,Fe_area,Fe_mass,K_area,K_mass,LDMC,LMA,Mg_area,Mg_mass,Mn_area,Mn_mass,Na_area,Na_mass,Narea,Nmass,P_area,P_mass,Zn_area,Zn_mass,car_area,car_mass,hemicellulose_area,cellulose_area,hemicellulose_mass,cellulose_mass,chlA_area,chlA_mass,chlB_area,chlB_mass,hemicellulose_area,hemicellulose_mass,lignin_area,lignin_mass,solubles_area,solubles_mass
0.93262756,-0.0013942836,-1.87099,-3.4188752,-0.013737174,2018-BeauchampRioux-MSc-UdeM,9158421,MSB_Chemin,-99,Acer,rubrum,tree,broadleaf,45.5442848,1.58504201959257e-07,0.032,2.34685284025925e-05,4.738,0.0024043106134694,48.54,4.4579306801041e-08,0.009,0.083902434981518,3.56634454408328e-07,0.072,3.97399753849725e-05,8.023,364.032282625247,0.0495325631122678,9.76782144573921e-06,1.972,4.21026786454276e-07,0.085,3.70503572079763e-06,0.748,0.0001195319813025,2.4132,1.22147300634852e-05,2.466,1.33737920403123e-07,0.027,-99.0,-99.0,0.0004151441511346,0.0004576477225906,8.3812370095539,9.239330529966,-99.0,-99.0,-99.0,-99.0,0.0004151441511346,8.3812370095539,0.0003874568513455,7.82226533416807,0.0036754420369455,74.2025408338954
0.055138707,-0.0003255317,0.19751549,0.7441168,0.003142124,2018-BeauchampRioux-MSc-UdeM,9163606,MSB_Chemin,-99,Acer,saccharum,tree,broadleaf,45.5444011,3.96999782986112e-09,0.001,3.17599826388889e-05,8.0,0.0018432699924045,46.43,3.96999782986112e-08,0.01,0.0721978081597222,2.30259874131945e-07,0.058,3.14225328233507e-05,7.915,332.660889330871,0.0396999782986112,7.43977593315973e-06,1.874,1.70709906684028e-07,0.043,3.45786810980903e-06,0.871,0.0001021917141384,2.5741,7.71370578342015e-06,1.943,5.55799696180556e-08,0.014,7.76928575303821e-06,1.957,0.0004718002073834,0.0005108007736957,11.8841427024144,12.8665252623994,3.60317003038195e-05,9.076,1.17750135633681e-05,2.966,0.0004718002073834,11.8841427024144,0.0002458503852688,6.19270830375929,0.0027210068974159,68.5392540255154
0.6489328,-0.0024651098,0.1593808,-0.07822895,0.004499239,2018-BeauchampRioux-MSc-UdeM,9166082,MSB_Chemin,-99,Acer,saccharum,tree,broadleaf,45.5440023,0.0,0.0,4.64889231389634e-05,8.729,0.0024525316881077,46.05,3.72806119799225e-08,0.007,0.0839120034460533,2.50312680436623e-07,0.047,3.01866441003144e-05,5.668,365.310869428554,0.0532580171141751,7.84490592091799e-06,1.473,5.69860783121673e-07,0.107,2.95581994983672e-06,0.555,0.000111799229526,2.0992,7.28569674121915e-06,1.368,6.39096205370101e-08,0.012,8.59584396222786e-06,1.614,0.0003517348063278,0.0006262814777584,6.60435414960792,11.7593840644833,4.5642120666848e-05,8.57,1.57803504709301e-05,2.963,0.0003517348063278,6.60435414960792,0.0002882023988891,5.41143689730874,0.0040386295221381,75.8313910463489
-1.0886707,0.0031931354,-0.18604851,0.53578854,0.0010235943,2018-BeauchampRioux-MSc-UdeM,9167475,MSB_Chemin,-99,Acer,saccharum,tree,broadleaf,45.543939,9.64062640844065e-08,0.021,3.67307866161589e-05,8.001,0.0021204787324089,46.19,3.67261958416786e-08,0.008,0.0794091199897989,2.7085569433238e-07,0.059,2.58506510980616e-05,5.631,346.009809770001,0.0459077448020983,8.62606524831427e-06,1.879,6.01391456907488e-07,0.131,2.55706138547688e-06,0.557,9.51116656809873e-05,2.0718,6.41790272333334e-06,1.398,6.42708427229376e-08,0.014,5.94046217739152e-06,1.294,0.0003475650617091,0.0005725723866936,7.57094610522507,12.4722394698754,2.97252647593587e-05,6.475,9.84262048556988e-06,2.144,0.0003475650617091,7.57094610522507,0.0003106122378368,6.76600950832753,0.0033360807359429,72.6692358843659
-0.6516768,0.0023018448,0.30726218,-0.26477242,0.001744641,2018-BeauchampRioux-MSc-UdeM,9171345,MSB_Chemin,-99,Acer,saccharum,tree,broadleaf,45.5440327,0.0,0.0,3.42484187812878e-05,5.702,0.0027881648541343,46.42,5.40574831693424e-08,0.009,0.0849387191437946,2.64281028827896e-07,0.044,3.91796625237356e-05,6.523,390.28265908921,0.0600638701881583,8.28881408596584e-06,1.38,2.10223545658554e-07,0.035,2.25239513205594e-06,0.375,0.0001009733721733,1.6811,7.45392629035044e-06,1.241,5.40574831693424e-08,0.009,6.63705765579149e-06,1.105,0.0002979698804047,0.0006245777422551,4.96088379705404,10.3985597381342,3.25846495770759e-05,5.425,1.08114966338685e-05,1.8,0.0002979698804047,4.96088379705404,0.0002820190398537,4.69531914893692,0.0047822106331842,79.6187561374795
1.0009056,-0.0025425833,-0.14164305,1.3313818,0.002202928,2018-BeauchampRioux-MSc-UdeM,9172047,MSB_Chemin,-99,Acer,saccharum,tree,broadleaf,45.5444649513,6.50677235263838e-08,0.016,4.47421933898296e-05,11.002,0.0018727304177437,46.05,4.47340599243888e-08,0.011,0.0664393532638479,2.3993723050354e-07,0.059,2.741791200093e-05,6.742,355.666360071646,0.0406673272039898,7.54785592906052e-06,1.856,2.44003963223939e-07,0.06,6.7914436430663e-07,0.167,9.2213164435047e-05,2.2675,7.31198543127737e-06,1.798,5.69342580855858e-08,0.014,7.36891968936296e-06,1.812,0.00055605213577,0.0004960429952898,13.6731910848436,12.1975804508055,4.17206109785732e-05,10.259,1.50387776000354e-05,3.698,0.00055605213577,13.6731910848436,0.0002889669461887,7.10562916365854,0.002711765093945,66.6816651200762
-0.35641408,0.0022592233,-1.8132281,0.6458435,-0.006749917,2018-BeauchampRioux-MSc-UdeM,9326262,MSB_Chemin,-99,Betula,populifolia,tree,broadleaf,45.5438637,0.0,0.0,3.44074949151598e-05,7.326,0.0022543813212225,48.0,2.81797665152824e-08,0.006,0.0830570337967736,2.01954993359524e-07,0.043,3.25852033471716e-05,6.938,320.468948035488,0.0469662775254707,1.01118395512338e-05,2.153,1.5170107640727e-06,0.323,4.12833579448887e-06,0.879,0.0001322758240227,2.8164,9.01282865713782e-06,1.919,4.50876264244519e-07,0.096,7.25628987768522e-06,1.545,0.000680467066616,0.0004242298564756,14.488418126112,9.03264807915709,3.45014274702108e-05,7.346,9.93336769663705e-06,2.115,0.000680467066616,14.488418126112,0.0006144417575414,13.0826156535022,0.0029626149364562,63.0796199432575
-1.2214954,0.0066256365,-1.4413619,-1.0399694,-0.011715066,2018-BeauchampRioux-MSc-UdeM,9328642,MSB_Chemin,-99,Betula,populifolia,tree,broadleaf,45.5438242,0.0,0.0,3.92152102385854e-05,6.557,0.0028683261903958,47.96,3.58839806971957e-08,0.006,0.0979566699287956,3.10994499375696e-07,0.052,3.50586491411602e-05,5.862,331.47853736089,0.0598066344953261,1.37435646070259e-05,2.298,2.05136756318969e-06,0.343,4.38382630850741e-06,0.733,0.000180299061013,3.0147,1.13273765734148e-05,1.894,6.21988998751392e-07,0.104,9.53915820200452e-06,1.595,0.000849957328685,0.0005108712201841,14.2117565359984,8.54204929762542,4.73369512030506e-05,7.915,1.4664586778254e-05,2.452,0.000849957328685,14.2117565359984,0.0007206664356959,12.0499413113148,0.0038805669443083,64.8852251435686
-0.28187466,0.0019054837,-0.49921942,0.36021137,-0.00048161484,2018-BeauchampRioux-MSc-UdeM,9330067,MSB_Chemin,-99,Betula,populifolia,tree,broadleaf,45.5438416,0.0,0.0,4.0467558848049e-05,8.273,0.002319070427881,47.41,3.42406517510386e-08,0.007,0.0961292115411984,2.3968456225727e-07,0.049,4.3260617726598e-05,8.844,286.536705443284,0.0489152167871981,1.00961007448777e-05,2.064,1.67290041412217e-06,0.342,3.88875973458225e-06,0.795,0.000146662494493,2.9983,9.36237249306971e-06,1.914,5.23392819623019e-07,0.107,8.60907815454686e-06,1.76,0.0007255142968966,0.0004916947065482,14.8320777162857,10.0519784812025,4.47720979253224e-05,9.153,1.38821385242068e-05,2.838,0.0007255142968966,14.8320777162857,0.0006946605050548,14.2013171090894,0.0029650811039286,60.616742573747
-0.5613575,0.003708202,-2.2288961,-0.040855408,-0.012076279,2018-BeauchampRioux-MSc-UdeM,9331161,MSB_Chemin,-99,Betula,populifolia,tree,broadleaf,45.5438361,0.0,0.0,4.89346897453401e-05,9.117,0.0025768942137477,48.01,3.75718798088604e-08,0.007,0.0921102870564278,2.20063867451897e-07,0.041,4.1844339284268e-05,7.796,350.987364757509,0.0536741140126578,1.39123303520809e-05,2.592,9.76868875030371e-07,0.182,2.24894537713036e-06,0.419,0.0001378458596073,2.5682,9.88140438973029e-06,1.841,6.54824190954425e-07,0.122,6.91859329623159e-06,1.289,0.0006695194263497,0.0004953603470345,12.4737862685884,9.22903630822373,3.57791644008377e-05,6.666,1.15882412153328e-05,2.159,0.0006695194263497,12.4737862685884,0.0004970405644414,9.26034036303306,0.0036884267402678,68.7189124239292
