principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,principal component 6,principal component 7,principal component 8,principal component 9,principal component 10,latitude,hemicellulose_area,cellulose_area,hemicellulose_mass,cellulose_mass,hemicellulose_area,hemicellulose_mass,lignin_area,lignin_mass,solubles_area,solubles_mass,bio_1,bio_12,bio_13-14,bio_15,bio_12,bio_13-14,bio_15,bio_4,bio_7,clay_15-30cm_mean_0.01_deg,nitrogen_15-30cm_mean_0.01_deg,sand_15-30cm_mean_0.01_deg,soc_15-30cm_mean_0.01_deg
-34.602737,-2.6072416,12.746197,24.888441,-7.586311,-3.2424762,0.7857297,4.173375,0.760109,-1.4438431,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-60.09058,8.636248,6.605429,23.350513,-7.972951,-0.67380893,0.10006352,3.5609636,0.32233962,-0.6278901,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-26.759104,7.50732,-26.683298,-2.2234774,-1.7029501,-2.6295547,-0.9494697,-0.85137576,0.7204685,-1.968965,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-26.38945,1.0900137,-27.031416,-0.082613505,-2.7830453,-4.1859484,-0.37498623,-0.22028448,1.9767256,-1.3810254,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-44.679893,-0.1953009,-16.512728,0.8480728,-2.502728,-2.150442,-0.7054038,-3.0985289,0.7286961,-1.1911916,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-14.436629,-5.143102,-21.923607,1.8000807,-2.7851336,-2.6095967,-0.14762348,-0.38335353,0.3784121,-1.6186703,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-32.566147,2.3363216,-2.498172,10.189201,-6.345369,-3.8284276,1.8591214,-1.5334642,0.62543404,-0.23523736,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-25.031757,15.497185,-17.556837,5.1520615,-4.268554,-2.6395574,1.4131527,-0.00081678404,0.20690681,0.5492867,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-29.254108,23.569038,12.221944,16.831835,-11.209721,-3.901772,1.6199474,3.5260305,1.9502767,0.7132512,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-28.908014,0.013703194,-5.161138,13.852394,-4.622106,-1.7883121,1.3939112,1.2351443,-0.6669096,-0.018354546,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
