0,1,2,3,4,Species,dataset,LandCover,Tool,Sensor,Site,Longitude,Latitude,Al_area_mg_cm2,Al_mass_mg_g,Anth_area_ug_cm2,Anth_mass_mg_g,Boron_area_mg_cm2,Boron_mass_mg_g,C_area_mg_cm2,C_mass_mg_g,Ca_area_mg_cm2,Ca_mass_mg_g,Car_area_ug_cm2,Car_mass_mg_g,Cellulose_mg_cm2,Cellulose_mg_g,Chl_area_ug_cm2,Chl_mass_mg_g,Cu_area_mg_cm2,Cu_mass_mg_g,EWT_mg_cm2,Fiber_mg_cm2,Fiber_mg_g,Flavonoids_area_mg_cm2,Flavonoids_mass_mg_g,Iron_area_mg_cm2,Iron_mass_mg_g,LAI_m2_m2,LMA_g_m2,LDMC_g_g,LWC%,Lignin_mg_cm2,Lignin_mg_g,Mg_area_mg_cm2,Mg_mass_mg_g,Mn_area_mg_cm2,Mn_mass_mg_g,N_area_mg_cm2,N_mass_mg_g,NSC_mg_cm2,NSC_mg_g,Phenolics_area_mg_cm2,Phenolics_mass_mg_g,P_area_mg_cm2,P_mass_mg_g,Potassium_area_mg_cm2,Potassium_mass_mg_g,Protein_g_m2,RWC%,Starch_area_mg_cm2,Starch_mass_mg_g,Sugar_area_mg_cm2,Sugar_mass_mg_g,S_area_mg_cm2,S_mass_mg_g,Zn_mass_mg_g,bio_1,bio_12,bio_13-14,bio_15,bio_12,bio_13-14,bio_15,bio_4,bio_7,clay_15-30cm_mean_0.01_deg,nitrogen_15-30cm_mean_0.01_deg,sand_15-30cm_mean_0.01_deg,soc_15-30cm_mean_0.01_deg
0.26036358,-0.24305654,0.00286307,1.1068165,0.0035918755,Carrex riparia,1,Grassland,Proximal,SVC HR-1024TM,"PapenIn, Belgium",5.025824,50.957775,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.013190039,1.900811359,-99.0,-99.0,-99.0,-99.0,27.63801383,3.98290341,-99.0,-99.0,13.13238061,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,69.39162461,0.345721425,65.42785755,-99.0,-99.0,0.008250284,1.188945233,-99.0,-99.0,0.101204548,14.584548,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,10.556389,770.61334,24.093334,12.756272,770.61334,24.093334,12.756272,583.68134,23.116001,185.0,137.0,260.0,122.0
-1.2498188,-0.113837,0.005542954,-0.071611404,-0.0030624573,Cirsium arvense,1,Grassland,Proximal,ASD FieldSpec 3,"BattN, Belgium",4.429857,51.060832,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.275347303,42.85818423,-99.0,-99.0,-99.0,-99.0,26.52690577,4.128949149,-99.0,-99.0,26.59206829,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,64.24614305,0.194586912,80.54130882,-99.0,-99.0,0.015379224,2.393797217,-99.0,-99.0,0.1525836,23.749846,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,10.275092,780.9378,25.266666,12.621699,780.9378,25.266666,12.621699,546.30566,22.2,-99.0,-99.0,-99.0,-99.0
-1.9336522,-0.45305145,0.0061869654,-0.3148135,-0.0025494234,Cirsium arvense,1,Grassland,Proximal,ASD FieldSpec 3,"BattSD, Belgium",4.432147,51.050452,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.372996808,42.3108871,-99.0,-99.0,-99.0,-99.0,36.39925699,4.128949149,-99.0,-99.0,33.70172794,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,88.15622491,0.207341765,79.26582348,-99.0,-99.0,0.01763871,2.000846774,-99.0,-99.0,0.187639432,21.284876,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,10.275092,780.9378,25.266666,12.621699,780.9378,25.266666,12.621699,546.30566,22.2,-99.0,-99.0,-99.0,-99.0
-0.8249042,-0.78400373,0.0047007715,1.4914143,0.006154461,Cirsium oleraceum,1,Grassland,Proximal,ASD FieldSpec 3,"BattN, Belgium",4.429857,51.060832,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.072642543,24.22124249,-99.0,-99.0,-99.0,-99.0,30.0367018,10.01515375,-99.0,-99.0,17.79641736,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,29.9912538,0.144219625,85.57803748,-99.0,-99.0,0.003823674,1.27492986,-99.0,-99.0,0.093848577,31.291982,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,10.275092,780.9378,25.266666,12.621699,780.9378,25.266666,12.621699,546.30566,22.2,-99.0,-99.0,-99.0,-99.0
-0.8368702,-0.5520797,0.004599253,0.7748697,0.0023642327,Cirsium oleraceum,1,Grassland,Proximal,ASD FieldSpec 3,"BattSD, Belgium",4.432147,51.050452,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.069664046,22.98705179,-99.0,-99.0,-99.0,-99.0,29.73668941,9.812218154,-99.0,-99.0,17.49557847,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,30.30577688,0.147644677,85.23553234,-99.0,-99.0,0.003711371,1.224641434,-99.0,-99.0,0.091056561,30.045942,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,10.275092,780.9378,25.266666,12.621699,780.9378,25.266666,12.621699,546.30566,22.2,-99.0,-99.0,-99.0,-99.0
-1.0582905,-0.15974641,0.0053223046,0.26351786,-0.0015348087,Cirsium oleraceum,1,Grassland,Proximal,ASD FieldSpec 3,"BattSP, Belgium",4.432147,51.050452,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.090705766,23.6374502,-99.0,-99.0,-99.0,-99.0,26.40689094,6.881498223,-99.0,-99.0,19.47993878,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,38.37375246,0.164571925,83.54280754,-99.0,-99.0,0.003379183,0.88059761,-99.0,-99.0,0.080823619,21.062214,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,10.275092,780.9378,25.266666,12.621699,780.9378,25.266666,12.621699,546.30566,22.2,-99.0,-99.0,-99.0,-99.0
-0.11311245,-0.10032201,0.0037835022,0.9120045,0.0017218464,Dactylis glomerata,1,Grassland,Proximal,SVC HR-1024TM,"DeMatSpo, Belgium",5.430897,50.951474,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.013719428,3.320321932,-99.0,-99.0,-99.0,-99.0,36.50776719,8.835466285,-99.0,-99.0,11.47156713,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,41.31957048,0.264809219,73.51907812,-99.0,-99.0,0.007216542,1.746519115,-99.0,-99.0,0.085123951,20.601364,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,10.163222,768.79114,26.782223,13.121497,768.79114,26.782223,13.121497,573.7676,23.498667,215.0,144.0,230.0,139.0
-1.0986366,0.03221631,0.0058609787,0.5005524,-0.0015323297,Dipsacus pilosus,1,Grassland,Proximal,ASD FieldSpec 3,"BattN, Belgium",4.429857,51.060832,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.061640254,13.94530938,-99.0,-99.0,-99.0,-99.0,20.54481648,4.647998706,-99.0,-99.0,15.21383097,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,44.2014247,0.225127251,77.48727488,-99.0,-99.0,0.006906362,1.56247505,-99.0,-99.0,0.08916631,20.172723,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,10.275092,780.9378,25.266666,12.621699,780.9378,25.266666,12.621699,546.30566,22.2,-99.0,-99.0,-99.0,-99.0
0.053832054,0.050272703,0.0033228425,0.5687678,0.0002990784,Epilobium hirsutum,1,Grassland,Proximal,ASD FieldSpec 3,"DoBeS, Belgium",4.635587,50.810271,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.072309884,18.94669339,-99.0,-99.0,-99.0,-99.0,25.34002976,6.639614741,-99.0,-99.0,10.57074582,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,38.16490978,0.265269213,73.47307873,-99.0,-99.0,0.010864533,2.846733467,-99.0,-99.0,0.092245121,24.17014,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,10.5075,762.36444,24.244444,11.929838,762.36444,24.244444,11.929838,563.0667,22.489779,-99.0,-99.0,-99.0,-99.0
0.20406723,-0.46725166,0.0022690292,0.7048843,0.0034226906,Epilobium hirsutum,1,Grassland,Proximal,SVC HR-1024TM,"PapenIn, Belgium",5.025824,50.957775,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.091525801,19.61870916,-99.0,-99.0,-99.0,-99.0,34.04738199,7.298113512,-99.0,-99.0,10.88992277,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,46.65230532,0.299915433,70.00845673,-99.0,-99.0,0.017227154,3.69266949,-99.0,-99.0,0.115690304,24.798411,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,10.556389,770.61334,24.093334,12.756272,770.61334,24.093334,12.756272,583.68134,23.116001,185.0,137.0,260.0,122.0
