principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,principal component 6,principal component 7,principal component 8,principal component 9,principal component 10,Species,dataset,LandCover,Tool,Sensor,Site,Longitude,Latitude,Al_area_mg_cm2,Al_mass_mg_g,Anth_area_ug_cm2,Anth_mass_mg_g,Boron_area_mg_cm2,Boron_mass_mg_g,C_area_mg_cm2,C_mass_mg_g,Ca_area_mg_cm2,Ca_mass_mg_g,Car_area_ug_cm2,Car_mass_mg_g,Cellulose_mg_cm2,Cellulose_mg_g,Chl_area_ug_cm2,Chl_mass_mg_g,Cu_area_mg_cm2,Cu_mass_mg_g,EWT_mg_cm2,Fiber_mg_cm2,Fiber_mg_g,Flavonoids_area_mg_cm2,Flavonoids_mass_mg_g,Iron_area_mg_cm2,Iron_mass_mg_g,LAI_m2_m2,LMA_g_m2,LDMC_g_g,LWC%,Lignin_mg_cm2,Lignin_mg_g,Mg_area_mg_cm2,Mg_mass_mg_g,Mn_area_mg_cm2,Mn_mass_mg_g,N_area_mg_cm2,N_mass_mg_g,NSC_mg_cm2,NSC_mg_g,Phenolics_area_mg_cm2,Phenolics_mass_mg_g,P_area_mg_cm2,P_mass_mg_g,Potassium_area_mg_cm2,Potassium_mass_mg_g,Protein_g_m2,RWC%,Starch_area_mg_cm2,Starch_mass_mg_g,Sugar_area_mg_cm2,Sugar_mass_mg_g,S_area_mg_cm2,S_mass_mg_g,Zn_mass_mg_g,bio_1,bio_12,bio_13-14,bio_15,bio_12,bio_13-14,bio_15,bio_4,bio_7,clay_15-30cm_mean_0.01_deg,nitrogen_15-30cm_mean_0.01_deg,sand_15-30cm_mean_0.01_deg,soc_15-30cm_mean_0.01_deg
21.129614,9.965744,-6.2630954,1.2287047,2.5120766,-2.0620468,-0.6657443,0.33921322,-0.13985546,-3.358422,Carrex riparia,1,Grassland,Proximal,SVC HR-1024TM,"PapenIn, Belgium",5.025824,50.957775,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.013190039,1.900811359,-99.0,-99.0,-99.0,-99.0,27.63801383,3.98290341,-99.0,-99.0,13.13238061,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,69.39162461,0.345721425,65.42785755,-99.0,-99.0,0.008250284,1.188945233,-99.0,-99.0,0.101204548,14.584548,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,10.556389,770.61334,24.093334,12.756272,770.61334,24.093334,12.756272,583.68134,23.116001,185.0,137.0,260.0,122.0
-14.9949665,1.4893812,7.855426,-0.4132441,2.2119975,-1.5782893,0.52039737,-0.69743,-0.065366566,-0.5712761,Cirsium arvense,1,Grassland,Proximal,ASD FieldSpec 3,"BattN, Belgium",4.429857,51.060832,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.275347303,42.85818423,-99.0,-99.0,-99.0,-99.0,26.52690577,4.128949149,-99.0,-99.0,26.59206829,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,64.24614305,0.194586912,80.54130882,-99.0,-99.0,0.015379224,2.393797217,-99.0,-99.0,0.1525836,23.749846,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,10.275092,780.9378,25.266666,12.621699,780.9378,25.266666,12.621699,546.30566,22.2,-99.0,-99.0,-99.0,-99.0
-24.493618,5.9260435,11.987776,-1.2584901,3.6071444,-2.4229448,-0.57649225,0.63568544,-0.09840579,-0.8870595,Cirsium arvense,1,Grassland,Proximal,ASD FieldSpec 3,"BattSD, Belgium",4.432147,51.050452,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.372996808,42.3108871,-99.0,-99.0,-99.0,-99.0,36.39925699,4.128949149,-99.0,-99.0,33.70172794,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,88.15622491,0.207341765,79.26582348,-99.0,-99.0,0.01763871,2.000846774,-99.0,-99.0,0.187639432,21.284876,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,10.275092,780.9378,25.266666,12.621699,780.9378,25.266666,12.621699,546.30566,22.2,-99.0,-99.0,-99.0,-99.0
28.506979,20.78422,4.490101,0.644963,2.0871835,-1.6444443,-2.236481,-2.1456912,0.03204525,-5.751481,Cirsium oleraceum,1,Grassland,Proximal,ASD FieldSpec 3,"BattN, Belgium",4.429857,51.060832,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.072642543,24.22124249,-99.0,-99.0,-99.0,-99.0,30.0367018,10.01515375,-99.0,-99.0,17.79641736,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,29.9912538,0.144219625,85.57803748,-99.0,-99.0,0.003823674,1.27492986,-99.0,-99.0,0.093848577,31.291982,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,10.275092,780.9378,25.266666,12.621699,780.9378,25.266666,12.621699,546.30566,22.2,-99.0,-99.0,-99.0,-99.0
7.816197,14.590588,4.2993717,0.7381305,3.2676008,-2.7922318,-4.5781903,-1.9965703,0.26434213,-5.229579,Cirsium oleraceum,1,Grassland,Proximal,ASD FieldSpec 3,"BattSD, Belgium",4.432147,51.050452,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.069664046,22.98705179,-99.0,-99.0,-99.0,-99.0,29.73668941,9.812218154,-99.0,-99.0,17.49557847,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,30.30577688,0.147644677,85.23553234,-99.0,-99.0,0.003711371,1.224641434,-99.0,-99.0,0.091056561,30.045942,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,10.275092,780.9378,25.266666,12.621699,780.9378,25.266666,12.621699,546.30566,22.2,-99.0,-99.0,-99.0,-99.0
-4.9341626,5.806507,7.218789,-0.011437903,3.5319645,-2.8324294,-3.9501305,-1.0052232,0.20207706,-6.074258,Cirsium oleraceum,1,Grassland,Proximal,ASD FieldSpec 3,"BattSP, Belgium",4.432147,51.050452,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.090705766,23.6374502,-99.0,-99.0,-99.0,-99.0,26.40689094,6.881498223,-99.0,-99.0,19.47993878,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,38.37375246,0.164571925,83.54280754,-99.0,-99.0,0.003379183,0.88059761,-99.0,-99.0,0.080823619,21.062214,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,10.275092,780.9378,25.266666,12.621699,780.9378,25.266666,12.621699,546.30566,22.2,-99.0,-99.0,-99.0,-99.0
15.8509445,6.965811,-1.1117657,0.58716184,1.460285,-1.2136725,-1.3354458,0.70941114,-0.04741848,-5.0480323,Dactylis glomerata,1,Grassland,Proximal,SVC HR-1024TM,"DeMatSpo, Belgium",5.430897,50.951474,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.013719428,3.320321932,-99.0,-99.0,-99.0,-99.0,36.50776719,8.835466285,-99.0,-99.0,11.47156713,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,41.31957048,0.264809219,73.51907812,-99.0,-99.0,0.007216542,1.746519115,-99.0,-99.0,0.085123951,20.601364,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,10.163222,768.79114,26.782223,13.121497,768.79114,26.782223,13.121497,573.7676,23.498667,215.0,144.0,230.0,139.0
4.2030044,3.506075,6.375613,-0.39742136,6.673795,-4.7930927,-1.8480666,-1.4576008,0.023375796,-5.2437897,Dipsacus pilosus,1,Grassland,Proximal,ASD FieldSpec 3,"BattN, Belgium",4.429857,51.060832,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.061640254,13.94530938,-99.0,-99.0,-99.0,-99.0,20.54481648,4.647998706,-99.0,-99.0,15.21383097,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,44.2014247,0.225127251,77.48727488,-99.0,-99.0,0.006906362,1.56247505,-99.0,-99.0,0.08916631,20.172723,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,10.275092,780.9378,25.266666,12.621699,780.9378,25.266666,12.621699,546.30566,22.2,-99.0,-99.0,-99.0,-99.0
6.3998513,2.6109421,-3.3176246,1.5492862,0.96077955,-1.1502819,-0.046416473,-1.3873638,-0.16307223,-1.5934297,Epilobium hirsutum,1,Grassland,Proximal,ASD FieldSpec 3,"DoBeS, Belgium",4.635587,50.810271,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.072309884,18.94669339,-99.0,-99.0,-99.0,-99.0,25.34002976,6.639614741,-99.0,-99.0,10.57074582,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,38.16490978,0.265269213,73.47307873,-99.0,-99.0,0.010864533,2.846733467,-99.0,-99.0,0.092245121,24.17014,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,10.5075,762.36444,24.244444,11.929838,762.36444,24.244444,11.929838,563.0667,22.489779,-99.0,-99.0,-99.0,-99.0
5.917092,13.63657,-4.907622,1.1522411,0.8715689,-0.80152816,0.72592896,1.0712289,-0.32213703,-0.24872991,Epilobium hirsutum,1,Grassland,Proximal,SVC HR-1024TM,"PapenIn, Belgium",5.025824,50.957775,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.091525801,19.61870916,-99.0,-99.0,-99.0,-99.0,34.04738199,7.298113512,-99.0,-99.0,10.88992277,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,46.65230532,0.299915433,70.00845673,-99.0,-99.0,0.017227154,3.69266949,-99.0,-99.0,0.115690304,24.798411,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,10.556389,770.61334,24.093334,12.756272,770.61334,24.093334,12.756272,583.68134,23.116001,185.0,137.0,260.0,122.0
19.151388,6.005529,-9.459982,3.2697554,1.065884,-1.9286017,-5.2249866,-3.0237458,0.27478933,-4.2755613,Epilobium tetragonum,1,Grassland,Proximal,ASD FieldSpec 3,"DoBeS, Belgium",4.635587,50.810271,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.055860635,18.65403226,-99.0,-99.0,-99.0,-99.0,29.78528674,9.946462365,-99.0,-99.0,10.35193238,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,29.94560845,0.224370611,77.56293886,-99.0,-99.0,0.009243956,3.086915323,-99.0,-99.0,0.08714314,29.100474,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,10.5075,762.36444,24.244444,11.929838,762.36444,24.244444,11.929838,563.0667,22.489779,-99.0,-99.0,-99.0,-99.0
-23.84955,-5.2319865,0.23056236,0.52714014,1.1217299,-1.1933672,-1.3815953,0.9791595,-0.00024540586,-2.7961464,Equisetum arvense,1,Grassland,Proximal,SVC HR-1024TM,"HaachtBev, Belgium",4.608445,50.978703,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.345583121,28.47644711,-99.0,-99.0,-99.0,-99.0,63.27106705,5.213608781,-99.0,-99.0,29.62961483,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,121.3575274,0.290569758,70.94302422,-99.0,-99.0,0.037284133,3.072255489,-99.0,-99.0,0.223376308,18.406465,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,10.5075,762.36444,24.244444,11.929838,762.36444,24.244444,11.929838,563.0667,22.489779,-99.0,-99.0,-99.0,-99.0
-15.818369,6.9714055,1.9847001,0.74993587,2.3645604,-2.0890796,-1.395341,-1.1279638,-0.0090302555,-3.1782854,Equisetum palustre,1,Grassland,Proximal,ASD FieldSpec 3,"BattSP, Belgium",4.432147,51.050452,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.181073296,17.72056452,-99.0,-99.0,-99.0,-99.0,47.90419839,4.688098455,-99.0,-99.0,46.31338702,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,102.1825775,0.180752883,81.92471174,-99.0,-99.0,0.035063251,3.431431452,-99.0,-99.0,0.244742171,23.951458,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,10.275092,780.9378,25.266666,12.621699,780.9378,25.266666,12.621699,546.30566,22.2,-99.0,-99.0,-99.0,-99.0
15.495206,10.1536875,-5.566125,1.2855976,-0.7176169,0.20886345,-1.3144821,2.4284778,-0.25825453,-1.2495903,Eupatorium cannabinum,1,Grassland,Proximal,SVC HR-1024TM,"DeMatSpo, Belgium",5.430897,50.951474,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.069431934,17.71726908,-99.0,-99.0,-99.0,-99.0,38.23814723,9.757405616,-99.0,-99.0,12.20587454,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,39.18884664,0.243035236,75.69647636,-99.0,-99.0,0.015775557,4.025522088,-99.0,-99.0,0.108137476,27.593942,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,10.163222,768.79114,26.782223,13.121497,768.79114,26.782223,13.121497,573.7676,23.498667,215.0,144.0,230.0,139.0
-16.482235,-0.6420596,-5.355699,1.778256,0.35413793,-1.1317506,-5.914038,3.4301555,-0.19658,-0.43832344,Festuca rubra,1,Grassland,Proximal,SVC HR-1024TM,"DeMatCem, Belgium",5.436023,50.953734,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.026577478,5.1888,-99.0,-99.0,-99.0,-99.0,27.09807274,5.290437276,-99.0,-99.0,11.42379067,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,51.22085628,0.309568713,69.04312872,-99.0,-99.0,0.009935002,1.93964,-99.0,-99.0,0.068468445,13.367298,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,10.163222,768.79114,26.782223,13.121497,768.79114,26.782223,13.121497,573.7676,23.498667,215.0,144.0,230.0,139.0
19.04131,-2.3771412,-9.408139,3.2624152,-0.5352281,-0.99950886,-9.284773,0.37165356,0.20996226,-6.690841,Filipendula ulmaria,1,Grassland,Proximal,ASD FieldSpec 3,"BattSP, Belgium",4.432147,51.050452,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.019997434,10.98283433,-99.0,-99.0,-99.0,-99.0,18.70853914,10.27495768,-99.0,-99.0,5.814839638,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,18.20789898,0.238459696,76.1540304,-99.0,-99.0,0.013819759,7.58998004,-99.0,-99.0,0.04669939,25.647874,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,10.275092,780.9378,25.266666,12.621699,780.9378,25.266666,12.621699,546.30566,22.2,-99.0,-99.0,-99.0,-99.0
