principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,principal component 6,principal component 7,principal component 8,principal component 9,principal component 10,carbon_area,carbon_mass,Jmax,latin_genus,latin_species,leaf_mass_per_area,nitrogen_area,nitrogen_mass,Rd,Vcmax,leaf_dry_matter_content,equivalent_water_thickness,latitude,longitude,dataset,Unnamed: 2016,species_name,chlorophyll_area,chlorophyll_mass,carotenoids_area,carotenoids_mass,phenolics_mass,phenolics_area,solubles_mass,hemicellulose_mass,cellulose_mass,lignin_mass,aluminum_mass,boron_mass,calcium_mass,copper_mass,iron_mass,potassium_mass,magnesium_mass,manganese_mass,sodium_mass,phosphorus_mass,zinc_mass,solubles_area,hemicellulose_area,cellulose_area,lignin_area,aluminum_area,calcium_area,copper_area,iron_area,potassium_area,magnesium_area,manganese_area,sodium_area,phosphorus_area,zinc_area,boron_area,bio_1,bio_12,bio_13-14,bio_15,bio_4,bio_7,clay_15-30cm_mean_0.01_deg,nitrogen_15-30cm_mean_0.01_deg,sand_15-30cm_mean_0.01_deg,soc_15-30cm_mean_0.01_deg
-44.864513,18.580027,-29.83776,1.100533,-5.0892677,-1.850574,-3.0261858,0.032244384,-0.7586443,-1.9637976,6.619,468.9,,Vochysia,ferruginea,0.014116,0.222,15.7,1.011156029,42.21782209,,,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-40.445663,-0.78640985,-30.013199,0.58890736,-1.0417159,-3.590486,-1.9381253,-0.5233942,2.2986846,-2.1719017,6.285,515.0,112.5502566,Terminalia,amazonia,0.012204,0.218,17.9,1.246904196,63.89480601,,,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-30.192013,7.5857525,-32.262817,0.80684775,-2.3859637,-3.1307454,-1.361053,-0.66988057,0.55945516,-1.998873,6.353,511.3,135.0766002,Terminalia,amazonia,0.012424,0.236,19.0,0.938468209,106.0292605,,,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-41.743652,-5.736663,7.0360208,-12.518813,-5.3793592,-1.1673408,2.2506597,-1.0146945,0.43079558,-0.16813606,3.26,480.3,103.9124115,Miconia,borealis,0.006788,0.129,19.0,0.861956512,70.438847,,,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-34.279003,-1.9319184,14.852739,-22.966017,-7.8009505,-2.3421133,0.2523154,4.0865912,1.0071741,-1.2451346,,,66.06879313,Guatteria,dumetorum,,,,1.343937698,42.11067321,,,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-59.915108,9.262248,8.6506605,-21.476114,-7.893029,0.18735382,-0.121377036,3.3019228,0.37805676,-0.23059824,4.176,438.5,,Vochysia,ferruginea,0.009524,0.193,20.3,,,,,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-27.19178,6.7410483,-26.98543,1.4377049,-1.9212126,-2.436442,-1.0180851,-1.0397165,0.5295048,-1.6967767,5.624,490.2,,Terminalia,amazonia,0.011472,0.224,19.5,0.536006446,98.12430256,,,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-26.75868,0.37059832,-27.03695,-0.5281119,-3.0723972,-3.9022632,-0.59776974,-0.38376033,1.7422415,-0.92934656,5.886,512.2,157.090733,Terminalia,amazonia,0.011492,0.252,21.9,1.045277149,95.30775689,,,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-45.083305,-0.59989905,-16.370903,-1.2958804,-2.7348778,-1.8967052,-0.18123928,-3.1262016,0.6083936,-1.1871059,4.89,514.7,158.2674979,Miconia,borealis,0.009501,0.219,23.0,0.15577267,122.3543975,,,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-14.684786,-5.7266765,-21.663952,-2.1500874,-2.9718192,-2.320068,-0.29705542,-0.47647423,0.2245793,-1.4157403,4.623,476.7,111.4605444,Guatteria,dumetorum,0.009697,0.199,20.5,0.697603619,79.83087354,,,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-32.511063,2.504459,-1.4447495,-9.544872,-6.613068,-3.301996,2.1223152,-1.1898495,0.738989,-0.32219827,4.596,469.1,,Miconia,borealis,0.009798,0.16,16.3,-0.010591406,114.7645111,,,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-25.133175,15.173215,-16.994677,-5.0163374,-4.410758,-2.3060968,1.4112316,0.24323192,0.32067025,0.30424106,5.486,500.9,132.5759336,Terminalia,amazonia,0.010952,0.195,17.8,0.704241364,88.43920068,,,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-28.845001,24.307074,13.5885725,-14.904922,-11.089645,-3.1124015,1.1649717,3.516041,2.024346,0.84891164,5.264,536.6,98.6563852,Terminalia,amazonia,0.009811,0.228,23.2,1.269445804,64.1009886,,,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-28.850857,0.087808825,-3.7567735,-12.976584,-4.7663326,-1.2852077,1.30777,1.4681966,-0.44081378,-0.37425542,4.386,489.5,112.2677136,Guatteria,dumetorum,0.008961,0.156,17.4,0.910674823,74.10085327,,,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
