0,1,2,3,4,5,6,7,8,9,carbon_area,carbon_mass,Jmax,latin_genus,latin_species,leaf_mass_per_area,nitrogen_area,nitrogen_mass,Rd,Vcmax,leaf_dry_matter_content,equivalent_water_thickness,latitude,longitude,dataset,Unnamed: 2016,species_name,chlorophyll_area,chlorophyll_mass,carotenoids_area,carotenoids_mass,phenolics_mass,phenolics_area,solubles_mass,hemicellulose_mass,cellulose_mass,lignin_mass,aluminum_mass,boron_mass,calcium_mass,copper_mass,iron_mass,potassium_mass,magnesium_mass,manganese_mass,sodium_mass,phosphorus_mass,zinc_mass,solubles_area,hemicellulose_area,cellulose_area,lignin_area,aluminum_area,calcium_area,copper_area,iron_area,potassium_area,magnesium_area,manganese_area,sodium_area,phosphorus_area,zinc_area,boron_area,bio_1,bio_12,bio_13-14,bio_15,bio_4,bio_7,clay_15-30cm_mean_0.01_deg,nitrogen_15-30cm_mean_0.01_deg,sand_15-30cm_mean_0.01_deg,soc_15-30cm_mean_0.01_deg
-0.0003797856,0.004300764,-0.00085294805,-0.00088593573,0.0008943259,-0.00086192414,0.5003711,-0.0015746157,1.015924,0.0010224497,7.202,448.4,67.90488758,Vochysia,ferruginea,0.016061,0.217,13.5,1.079654886,32.65615688,,,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-0.00033525017,0.0037643854,0.0011919772,-0.00017048582,0.0008037217,0.00036825845,0.67057693,-0.0018986615,0.834598,6.724289e-05,6.619,468.9,,Vochysia,ferruginea,0.014116,0.222,15.7,1.011156029,42.21782209,,,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
0.0001462673,0.004378774,0.002702421,-0.001820223,-0.0010860708,1.3482757e-05,-0.19758543,-0.0006252985,0.41350344,0.001230129,6.285,515.0,112.5502566,Terminalia,amazonia,0.012204,0.218,17.9,1.246904196,63.89480601,,,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-0.0011180341,-0.0011220474,0.0035702959,0.0019909053,0.00048684317,0.002196764,0.039036945,0.0014898758,-0.32203853,-0.0037606342,6.353,511.3,135.0766002,Terminalia,amazonia,0.012424,0.236,19.0,0.938468209,106.0292605,,,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-0.00285189,0.000211176,-0.0059818965,-0.0009500361,-0.0046816347,0.0013856743,-1.2211,0.005238307,0.68555975,-0.00072869356,3.26,480.3,103.9124115,Miconia,borealis,0.006788,0.129,19.0,0.861956512,70.438847,,,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-0.0039749043,-0.0017503665,-0.006730772,-0.0018564159,-0.0024892231,-0.00039151544,-1.5419171,0.0060767964,0.4446342,0.00042906217,,,66.06879313,Guatteria,dumetorum,,,,1.343937698,42.11067321,,,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-0.0029972298,0.00044728583,-0.011420716,0.0022484476,-0.0030366036,0.0018719838,-1.0673841,0.005580329,1.8039382,-0.004645841,4.176,438.5,,Vochysia,ferruginea,0.009524,0.193,20.3,,,,,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-0.00045934503,-0.0015548451,0.0036104782,0.0018905422,0.00039358344,0.0020538587,0.016129307,0.0011288996,-0.46242255,-0.003436248,5.624,490.2,,Terminalia,amazonia,0.011472,0.224,19.5,0.536006446,98.12430256,,,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-0.0006799435,-0.0009636604,0.0063731046,0.0020992218,0.0020150812,0.0013573808,-0.48932472,0.0026263637,-0.40834123,-0.0044833114,5.886,512.2,157.090733,Terminalia,amazonia,0.011492,0.252,21.9,1.045277149,95.30775689,,,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
1.5070022e-05,0.0038739797,0.00089617725,-0.00089443265,-0.0009875401,0.00059758127,-0.27630508,-8.259469e-05,0.7395767,-0.0004279192,4.89,514.7,158.2674979,Miconia,borealis,0.009501,0.219,23.0,0.15577267,122.3543975,,,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-0.0037128741,-0.0052299025,0.006192361,-0.0013614695,0.00855645,-0.0034451447,-0.95267594,0.001757934,-1.269649,0.00069668796,4.623,476.7,111.4605444,Guatteria,dumetorum,0.009697,0.199,20.5,0.697603619,79.83087354,,,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-0.0014677828,-0.0021285769,0.0020276317,6.2341336e-05,0.00050585635,0.0013934537,-0.7329315,0.0033685106,0.038082987,-0.0030859567,4.596,469.1,,Miconia,borealis,0.009798,0.16,16.3,-0.010591406,114.7645111,,,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
0.002458376,-0.0017503146,-0.0006519924,0.0011408131,-0.0020090626,0.00091392454,0.6121795,-0.0019517059,-0.7414164,0.000387331,5.486,500.9,132.5759336,Terminalia,amazonia,0.010952,0.195,17.8,0.704241364,88.43920068,,,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
0.0044110375,-1.3452955e-06,-0.0063681356,0.0005511802,-0.0034074853,-0.0008098446,1.7640052,-0.005810776,-0.521799,0.005119643,5.264,536.6,98.6563852,Terminalia,amazonia,0.009811,0.228,23.2,1.269445804,64.1009886,,,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-0.0012788639,-0.0023233953,0.003962989,-0.0004698725,0.001456072,0.00078144716,-0.71592176,0.0028770159,-0.23859817,-0.0024576029,4.386,489.5,112.2677136,Guatteria,dumetorum,0.008961,0.156,17.4,0.910674823,74.10085327,,,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
0.00047759624,0.004532787,-0.0019145701,-0.0016731328,-0.00041441602,-0.00090747885,-0.20004198,-0.0003523039,1.1483696,0.00035946164,5.871,526.8,,Miconia,borealis,0.011145,0.222,19.9,0.596416937,90.32765903,,,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-0.0016469806,0.002551069,-0.015450548,0.0009413536,-0.0031342274,-0.00077948626,-1.1744969,0.0056302217,2.345315,-0.002984405,3.717,494.0,,Vochysia,ferruginea,0.007525,0.139,18.5,,,,,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
0.0010349532,-0.0021811626,0.0011799547,0.0010953902,-0.0007445052,0.0016043233,0.36587918,-0.00094230945,-0.5904639,-0.0013310262,5.081,504.7,138.3656765,Terminalia,amazonia,0.010067,0.211,21.0,0.532637954,88.33258842,,,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
