0,1,2,project,sample_id,site,stage,Latin Genus,Latin Species,growthform,functionalgroup,Latitude,Longitude,Al_area,Al_mass,B2089_mass,B2498_mass,Ca_area,Ca_mass,Carea,Cmass,Cu_area,Cu_mass,EWT,Fe_area,Fe_mass,K_area,K_mass,LDMC,LMA,Mg_area,Mg_mass,Mn_area,Mn_mass,Na_area,Na_mass,Narea,Nmass,P_area,P_mass,SLA,Zn_area,Zn_mass,car_area,car_mass,cellulose_area,hemicellulose_area,cellulose_mass,hemicellulose_mass,chlA_area,chlA_mass,chlB_area,chlB_mass,hemicellulose_area,hemicellulose_mass,lignin_area,lignin_mass,solubles_area,solubles_mass
0.8729064,-0.0009875876,0.38493586,2018-BeauchampRioux-MSc-UdeM,8562362,CF_MSB,-99,Betula,populifolia,tree,broadleaf,45.547597,-73.323269,0.0,0.0,0.101,0.095,2.5249427045642e-05,5.017,0.0025128640470179,49.93,4.02621918208364e-08,0.008,0.101819507572222,2.86868116723459e-07,0.057,4.07352725747312e-05,8.094,330.783110790328,0.0503277397760454,8.18832326156259e-06,1.627,1.47963554941574e-06,0.294,4.5445949017769e-06,0.903,0.0002244013261134,4.4588,1.27379509373171e-05,2.531,19.8697578005673,5.33474041626082e-07,0.106,9.70318822882156e-06,1.928,0.0003975147664882,0.0006329220664125,7.89852213227113,12.5760081662518,4.25269401107584e-05,8.45,1.26070988138994e-05,2.505,0.0006329220664125,12.5760081662518,0.0006833306969544,13.5776154461781,0.0032999087896146,65.5683884136066
0.59753036,-0.00092734874,-0.9111371,2018-BeauchampRioux-MSc-UdeM,8562362,CF_MSB,-99,Betula,populifolia,tree,broadleaf,45.547597,-73.323269,-99.0,0.0,0.101,0.095,-99.0,5.017,-99.0,49.93,-99.0,0.008,0.101819507572222,-99.0,0.057,-99.0,8.094,330.783110790328,0.0503277397760454,-99.0,1.627,-99.0,0.294,-99.0,0.903,-99.0,4.4588,-99.0,2.531,19.8697578005673,-99.0,0.106,-99.0,1.928,-99.0,-99.0,7.89852213227113,12.5760081662518,-99.0,8.45,-99.0,2.505,-99.0,12.5760081662518,-99.0,13.5776154461781,-99.0,65.5683884136066
-1.1989338,0.004402799,0.4546492,2018-BeauchampRioux-MSc-UdeM,8563466,CF_MSB,-99,Betula,populifolia,tree,broadleaf,45.547597,-73.323269,-99.0,0.008,0.095,0.089,-99.0,4.067,-99.0,49.14,-99.0,0.007,0.109271630688759,-99.0,0.051,-99.0,8.055,308.218449870645,0.0486852137346379,-99.0,1.927,-99.0,0.348,-99.0,0.896,-99.0,3.7885,-99.0,2.405,20.5401172818213,-99.0,0.082,-99.0,1.656,-99.0,-99.0,7.24113613439553,9.0091282921607,-99.0,7.394,-99.0,2.184,-99.0,9.0091282921607,-99.0,12.7793907160981,-99.0,70.64229219602
1.1647658,-0.0012198548,0.728467,2018-BeauchampRioux-MSc-UdeM,8563466,CF_MSB,-99,Betula,populifolia,tree,broadleaf,45.547597,-73.323269,3.89481709877103e-08,0.008,0.095,0.089,1.98002764258772e-05,4.067,0.0023923914029201,49.14,3.40796496142465e-08,0.007,0.109271630688759,2.48294590046653e-07,0.051,3.92159396632508e-05,8.055,308.218449870645,0.0486852137346379,9.38164068666473e-06,1.927,1.6942454379654e-06,0.348,4.36219515062356e-06,0.896,0.0001844439322336,3.7885,1.17087939031804e-05,2.405,20.5401172818213,3.99218752624031e-07,0.082,8.06227139445604e-06,1.656,0.0003525362603846,0.0004386113364666,7.24113613439553,9.0091282921607,3.59978470353913e-05,7.394,1.06328506796449e-05,2.184,0.0004386113364666,9.0091282921607,0.0006221673684116,12.7793907160981,0.0034392350942679,70.64229219602
0.6222458,-0.0009783283,-0.92606735,2018-BeauchampRioux-MSc-UdeM,8563466,CF_MSB,-99,Betula,populifolia,tree,broadleaf,45.547597,-73.323269,-99.0,0.008,0.095,0.089,-99.0,4.067,-99.0,49.14,-99.0,0.007,0.109271630688759,-99.0,0.051,-99.0,8.055,308.218449870645,0.0486852137346379,-99.0,1.927,-99.0,0.348,-99.0,0.896,-99.0,3.7885,-99.0,2.405,20.5401172818213,-99.0,0.082,-99.0,1.656,-99.0,-99.0,7.24113613439553,9.0091282921607,-99.0,7.394,-99.0,2.184,-99.0,9.0091282921607,-99.0,12.7793907160981,-99.0,70.64229219602
-1.4042928,0.005286118,1.0747149,2018-BeauchampRioux-MSc-UdeM,8564635,CF_MSB,-99,Betula,populifolia,tree,broadleaf,45.547597,-73.323269,-99.0,0.059,0.06,0.057,-99.0,5.383,-99.0,48.02,-99.0,0.007,0.0893159860960163,-99.0,0.108,-99.0,9.52,295.224403050381,0.0374136942200873,-99.0,2.069,-99.0,0.314,-99.0,0.472,-99.0,3.1619,-99.0,2.351,26.7281812407368,-99.0,0.103,-99.0,1.408,-99.0,-99.0,7.5441303182825,12.6216849209245,-99.0,7.399,-99.0,2.367,-99.0,12.6216849209245,-99.0,12.8939972721962,-99.0,66.4645073074188
0.943125,-0.0011733309,0.2767496,2018-BeauchampRioux-MSc-UdeM,8564635,CF_MSB,-99,Betula,populifolia,tree,broadleaf,45.547597,-73.323269,2.20740795898515e-07,0.059,0.06,0.057,2.0139791598673e-05,5.383,0.0017966055964485,48.02,2.61895859540611e-08,0.007,0.0893159860960163,4.04067897576943e-07,0.108,3.56178368975231e-05,9.52,295.224403050381,0.0374136942200873,7.74089333413606e-06,2.069,1.17478999851074e-06,0.314,1.76592636718812e-06,0.472,0.0001182983597544,3.1619,8.79595951114252e-06,2.351,26.7281812407368,3.85361050466899e-07,0.103,5.26784814618829e-06,1.408,0.0002822537848847,0.0004722238601737,7.5441303182825,12.6216849209245,2.76823923534426e-05,7.399,8.85582142189466e-06,2.367,0.0004722238601737,12.6216849209245,0.0004824120712165,12.8939972721962,0.0024866827528885,66.4645073074188
0.1532824,-0.000100465506,-0.60170126,2018-BeauchampRioux-MSc-UdeM,8564635,CF_MSB,-99,Betula,populifolia,tree,broadleaf,45.547597,-73.323269,-99.0,0.059,0.06,0.057,-99.0,5.383,-99.0,48.02,-99.0,0.007,0.0893159860960163,-99.0,0.108,-99.0,9.52,295.224403050381,0.0374136942200873,-99.0,2.069,-99.0,0.314,-99.0,0.472,-99.0,3.1619,-99.0,2.351,26.7281812407368,-99.0,0.103,-99.0,1.408,-99.0,-99.0,7.5441303182825,12.6216849209245,-99.0,7.399,-99.0,2.367,-99.0,12.6216849209245,-99.0,12.8939972721962,-99.0,66.4645073074188
-1.3761904,0.0047240034,0.042796135,2018-BeauchampRioux-MSc-UdeM,9153899,CF_MSB,-99,Acer,rubrum,tree,broadleaf,45.547597,-73.323269,-99.0,0.005,0.092,0.084,-99.0,5.37,-99.0,47.75,-99.0,0.01,0.0870349221614472,-99.0,0.07,-99.0,8.506,348.164498141264,0.0464879097697126,-99.0,1.54,-99.0,0.207,-99.0,0.73,-99.0,2.696,-99.0,1.88,21.510969302636,-99.0,0.029,-99.0,1.73,-99.0,-99.0,11.2359498285389,7.13669270705266,-99.0,8.498,-99.0,2.685,-99.0,7.13669270705266,-99.0,7.46426848382831,-99.0,73.6155288096463
1.1895156,-0.0013590157,0.5820415,2018-BeauchampRioux-MSc-UdeM,9153899,CF_MSB,-99,Acer,rubrum,tree,broadleaf,45.547597,-73.323269,2.32439548848563e-08,0.005,0.092,0.084,2.49640075463357e-05,5.37,0.0022197976915037,47.75,4.64879097697126e-08,0.01,0.0870349221614472,3.25415368387988e-07,0.07,3.95426160501175e-05,8.506,348.164498141264,0.0464879097697126,7.15913810453574e-06,1.54,9.62299732233051e-07,0.207,3.39361741318902e-06,0.73,0.0001253314047391,2.696,8.73972703670597e-06,1.88,21.510969302636,1.34814938332167e-07,0.029,8.04240839016028e-06,1.73,0.0005223358218061,0.0003317699266196,11.2359498285389,7.13669270705266,3.95054257223018e-05,8.498,1.24820037731678e-05,2.685,0.0003317699266196,7.13669270705266,0.0003469982397731,7.46426848382831,0.0034222320609525,73.6155288096463
0.113276005,0.00041528736,-1.4091787,2018-BeauchampRioux-MSc-UdeM,9153899,CF_MSB,-99,Acer,rubrum,tree,broadleaf,45.547597,-73.323269,-99.0,0.005,0.092,0.084,-99.0,5.37,-99.0,47.75,-99.0,0.01,0.0870349221614472,-99.0,0.07,-99.0,8.506,348.164498141264,0.0464879097697126,-99.0,1.54,-99.0,0.207,-99.0,0.73,-99.0,2.696,-99.0,1.88,21.510969302636,-99.0,0.029,-99.0,1.73,-99.0,-99.0,11.2359498285389,7.13669270705266,-99.0,8.498,-99.0,2.685,-99.0,7.13669270705266,-99.0,7.46426848382831,-99.0,73.6155288096463
-1.4803255,0.0053775213,0.80113506,2018-BeauchampRioux-MSc-UdeM,9155113,CF_MSB,-99,Acer,rubrum,tree,broadleaf,45.547597,-73.323269,-99.0,0.002,0.195,0.177,-99.0,4.379,-99.0,48.47,-99.0,0.008,0.0884680075379981,-99.0,0.055,-99.0,7.925,358.90686321432,0.0495275542013772,-99.0,1.947,-99.0,0.159,-99.0,0.929,-99.0,2.2234,-99.0,1.912,20.1907809930213,-99.0,0.022,-99.0,1.047,-99.0,-99.0,10.7550841120297,6.70152076018485,-99.0,7.605,-99.0,3.6,-99.0,6.70152076018485,-99.0,8.16616278717361,-99.0,73.9870499473097
0.75757277,-0.0009150562,0.22089005,2018-BeauchampRioux-MSc-UdeM,9155113,CF_MSB,-99,Acer,rubrum,tree,broadleaf,45.547597,-73.323269,9.905510840275451e-09,0.002,0.195,0.177,2.16881159847831e-05,4.379,0.0024006005521407,48.47,3.96220433611018e-08,0.008,0.0884680075379981,2.72401548107575e-07,0.055,3.92505867045915e-05,7.925,358.90686321432,0.0495275542013772,9.64301480300815e-06,1.947,7.87488111801898e-07,0.159,4.60110978530795e-06,0.929,0.0001101195640113,2.2234,9.46966836330333e-06,1.912,20.1907809930213,1.0896061924303e-07,0.022,5.1855349248842e-06,1.047,0.0005326730112989,0.0003319099326817,10.7550841120297,6.70152076018485,3.76657049701474e-05,7.605,1.78299195124958e-05,3.6,0.0003319099326817,6.70152076018485,0.000404450070059,8.16616278717361,0.0036643976264653,73.9870499473097
0.015581369,0.00051108934,-1.2234397,2018-BeauchampRioux-MSc-UdeM,9155113,CF_MSB,-99,Acer,rubrum,tree,broadleaf,45.547597,-73.323269,-99.0,0.002,0.195,0.177,-99.0,4.379,-99.0,48.47,-99.0,0.008,0.0884680075379981,-99.0,0.055,-99.0,7.925,358.90686321432,0.0495275542013772,-99.0,1.947,-99.0,0.159,-99.0,0.929,-99.0,2.2234,-99.0,1.912,20.1907809930213,-99.0,0.022,-99.0,1.047,-99.0,-99.0,10.7550841120297,6.70152076018485,-99.0,7.605,-99.0,3.6,-99.0,6.70152076018485,-99.0,8.16616278717361,-99.0,73.9870499473097
